0,NUM,TWEET,CLASS
70,1.49E+18,"In this interview I use 'depraved' to describe the continued prosecution of Julian #Assange. \nDepraved also describes the US/UK push to unjust and unnecessary war with Russia, which is also discussed. In a media blackout of truth, please watch.\nhttps://t.co/jcVaK1de2B",AX
71,1.49E+18,@MysteryGrove If they take any territory at all Mariupol will probably be first on the list - provides land connection between Crimea and Donbass. But if there is fighting I think it’s more likely that Russia will seek to destroy all Uke military capability; send strong message.,PY
72,1.49E+18,"Not good. We need to move beyond will they or won’t they and start talking about what the world looks like after, and how much destruction along the way. https://t.co/C631AqTEoZ",AX
73,1.49E+18,"Futebol é um retrato da sociedade. E nossa sociedade tá muito, mas muito doente. Que mundo é esse que um torcedor invade um campeonato de base com uma FACA em direção a um jogador? É caso pra prisão. A gente precisa repensar urgentemente essa relação com o esporte.",AX
74,1.49E+18,@putin_wok @kiddychris Кристине нельзя,AX
75,1.49E+18,"One year later, President Biden has brought us to the brink of war through weakness.\n\nHis consistent weakness on the world stage has encouraged Putin’s military aggression and endangered the territory of Ukraine.\nhttps://t.co/Rvvrc9IUDX",PY
76,1.49E+18,".@IgnatiusPost reports from Kiev: “The best advice I heard… Impose severe sanctions on Russia now, rather than after it has rolled into Ukraine. If Putin persists in covert actions in the West, match him.” https://t.co/uMwA0nU0y7 @PostOpinions",PY
77,1.49E+18,Video registrato da un drone a lungo raggio SMM documenta convogli di camion russi che entrano e escono dall'#Ucraina nel cuore della notte. La #Russia continua ad ammassare truppe in Bielorussia e nell'est Ucraina\n@RadioRadicale #Turchia https://t.co/Hph2DVlzeX,AX
78,1.49E+18,"I'm listening to an interview of Dakota Adams, aka Dakota Rhodes the son of Stewart Rhodes and it is eye-opening and the ties to Flynn and Russia, Qanon and Mormons are noted. He is very knowledgeable about the Ops. He backs me up on who Q is and isn't. Flynn Co-op'd it.",AX
79,1.49E+18,What y’all think is gonna happen in the next weeks 🗯?\n\n#Russia #RussiaUkraine #WorldWar3 #worldwar #Putin #Ukrain #War #Nuke #News https://t.co/JgdJEwshLv,DY*
80,1.49E+18,"Attack on Titan Episode 80 Title\n\n二千年前の君から (From You, 2,000 Years Ago) https://t.co/FXk2p1m26l",AX
81,1.49E+18,"#UPDATE Britain alleged that it had information that Moscow was ""looking to install a pro-Russian leader in Kyiv"" as fears of a Russian invasion of Ukraine grow https://t.co/wgTmYQ4dsK",PY
82,1.49E+18,@Steven_Swinford He'll be manufacturing his #falklands moment soon. Trouble is Russia is not Argentina. #JohnsonOut,AX
83,1.49E+18,"@allexitoh @supercell You have to learn something: when the opponent move backwards and you move forward to attack him, in that case you usually going to lose, so you only attack forward when you are sure that you will win, that was your blame actually",AX
84,1.49E+18,"Russia on the brink of starting WWIII. US looking at the collapse of democracy.\nFascism on the rise worldwide. Climate change. Pandemic. Terrorism. Hunger. Inflation...\n\nFox News: I think about having sex with cartoon chocolate. Take me seriously, this is important. Freedom.",UC
85,1.49E+18,"""Out of an abundance of caution"" our health experts have increased:\n -Poverty\n -Depression\n -Obesity\n -Domestic abuse\n -Overdoses\n -Cancer\n -Anxiety\n -Child marriage\n -Loneliness\n -Learning loss\n -Heart attacks\n -Child neglect\n -Divisiveness\n -Strokes\n -Tuberculosis\n -Addiction",AX
86,1.49E+18,"Torcida invade redes sociais do goleiro Tomate, que está em negociação avançada com o Botafogo https://t.co/bqC3eHWUs8 https://t.co/PlFz4DM9Cu",AX
87,1.49E+18,"US hawks don't care if their saber-rattling against Russia is driving up already high energy prices even further for average people in Europe.\n\nOn the contrary, it's good for them: they scapegoat Moscow for the price hikes, while pressuring Europe to import more gas from the US.",AX
88,1.49E+18,Shame. I liked Admiral Von Ribbentrop.\n\nhttps://t.co/nxRtNl4NOj,AX
89,1.49E+18,"18/with any luck Bannon/Dugin/Putin have simply missed their window of opportunity for their demon seeds to take root in the global womb. They are aiming for a ""100 year rule,"" and frankly, our metabolism is now operating on a much shorter time horizon.\nhttps://t.co/9RQ2JRT6VX",AX
90,1.49E+18,Never thought I’d say this but Ambry Thomas being unable to go is a big loss for 49ers. He’d been playing better of late and Norman/Johnson give Rodgers a couple of MAJOR weaknesses to attack either for big gains or penalties. https://t.co/yEe5imNv43,AX
91,1.49E+18,"And I want to remind you that there is still an insect from the pet shop that we haven't seen yet, him/her:\n\n(It turns out that's the one who's holding Mrs. Yu 🤷 it's possible since the two haven't seen them since the attack on the Nest) https://t.co/FiIwcJUDiR",AX
92,1.49E+18,@chipfranklin How about we quit worrying about her &amp; Manchin and we concentrate on flipping a few Republican seats blue in November? There are ones that are. It’s time to focus and attack.,AX
93,1.49E+18,"My thoughts, Russia does not want NATO missiles on their border. Making Ukraine neutral is a good idea for a peaceful solution. I agree with this attached (very sensible) news article. https://t.co/eQJzdohsOP",DN
94,1.49E+18,"2 patients had heart attack, 37 and 41 years old. Non-smokers. Admitted had stressful lifestyles with not enough rest.\n\nPlease have adequate sleep, ideally 6-8 hours.",AX
95,1.49E+18,https://t.co/TTeXX5mTom,AX
96,1.49E+18,"Britain Says Moscow Is Plotting to Install a Pro-Russian Leader in Ukraine:\n\nIn a highly unusual public statement, backed by U.S. officials, London named the putative head of a potential puppet government but few other details.\n\nhttps://t.co/CAdAS3ddCZ",PY
97,1.49E+18,Happy birthday me &amp; @oceanyouna_  #birthday #sashabraus #conniespringer #twins #AttackonTitanFinalSeasonpart2 #AttackOnTitan #attack_on_titan #AttackonTitanFinalSeason 🎂🎂🥳 https://t.co/PbwH4Ariei,AX
98,1.49E+18,"@mattnewransky @True_Canuck1 And this ""invasion"" hype is nothing more but yet another theater, Russia has no interest in starting a war with Ukraine or anyone on its boarders, Russia doesn't need, doesn't want and can't afford a war on its doorstep.",DN
99,1.49E+18,"All 5 Ukrainians identified by the British government as part of a plot to install a pro-Russian government in Ukraine were top officials in the YANUKOVYCH regime, which was advised at the highest levels by PAUL MANAFORT. https://t.co/ZM6KwaoPhY",PY
100,1.49E+18,Joe Biden has now lost Afghanistan and Ukraine in less than 6 months.,DY*
101,1.49E+18,Imagine a world in which our border received one-tenth the coverage of Ukraine’s.,UC
102,1.49E+18,"Sounds like Britain has taken what the US actually did to Ukraine in 2014, and rebooted it for Russia. Here's Obama-Biden official Victoria Nuland &amp; then-US Amb. Geoffrey Pyatt privately deciding to install Arseniy Yatsenyuk (""Yats is the guy"") as Ukraine's next Prime Minister: https://t.co/0fTraRMEvl https://t.co/PDoXBIY5kM",UC
103,1.49E+18,"This is an unprecedented from the UK. \n\n""We have information that indicates the Russian Government is looking to install a pro-Russian leader in Kyiv as it considers whether to invade and occupy Ukraine.""\n\nhttps://t.co/V6O5eFNqwL",PY
104,1.49E+18,A Strategy for low league - ruin your opponents attack! — Hive https://t.co/2ZTaeyBKeV,AX
105,1.49E+18,@heydave7 @EmmetPeppers General thoughts on Russia-Ukraine situation and effect on the markets?,UC
106,1.49E+18,"@ianbremmer Perhaps the purpose is to force the E.U &amp; USA to give their concessions, as Putin gets older in age and his country experiences further geopolitical isolation he’s looking for national wins",AX
107,1.49E+18,"As we reported last week, some officials who have seen the intelligence say there has been evidence Russia is planning to try to take Ukraine's capital, Kyiv, and overthrow the government. https://t.co/HOgQlOtqGe",PY
108,1.49E+18,Our southern border is more of security threat to us than the Russians invading Ukraine. I do not understand this at all. We are literally being invaded! Millions.,DN
109,1.49E+18,"What’s happening is that Republicans are replicating the illiberal states in Hungary and Russia by systematically dismantling democracy and enacting plans to control education, history, and culture in order to promote privatization and theocratic control.",AX
110,1.49E+18,URGENTE: Torcedor invade campo e é confiscada faca dele! Confusão instaurada e há risco de a partida não continuar. Seguem mais informações https://t.co/yR7dkLgFph,AX
111,1.49E+18,"#UPDATE Britain alleged that it had information that Moscow was ""looking to install a pro-Russian leader in Kyiv"" as fears of a Russian invasion of Ukraine grow https://t.co/wgTmYQ4dsK",PY
112,1.49E+18,Putin va a llegar hasta Berlín sin problemas. https://t.co/gccvpGqSrl,AX
113,1.49E+18,@gabigol_1981 @futebol_info 1 invade : 20 milhões,AX
114,1.49E+18,Vindman has spent the last week trashing Zelensky because he’s a shameless hack who never actually cared about Ukraine. Vindman exists to lick the boots of Democrats. It was always a scam. https://t.co/mKNMtScM5d,UC
115,1.49E+18,Quick nut before errands~ https://t.co/zL9GIzIpjt,AX
116,1.49E+18,"@cov_Gretchen Well, we could go to war with Russia and have President Harris with the nuclear football.",UC
117,1.49E+18,"BREAKING: The UK has accused Russia of plotting to install a pro-Kremlin leader in Kyiv as Moscow weighs up new Ukraine invasion.\nIn an unusual move based on declassified intelligence, the foreign office alleged an ex Ukrainian MP was “being considered as a potential candidate”",PY
118,1.49E+18,"In the current situation, let us remember the most important: \nСЛАВА УКРАЇНІ! ГЕРОЯМ СЛАВА!\nWe stand with Ukraine.",UC
119,1.49E+18,"Я ухвалив і прискорив, і ми повністю підтримуємо постачання оборонного обладнання, яке союзники @NATO 🇪🇪🇱🇻🇱🇹 надають 🇺🇦, посилюючи її здатність захиститись від неспровокованої та безвідповідальної агресії Росії. Ми дякуємо їм за багаторічну підтримку 🇺🇦. https://t.co/EJ9wVEpNLn https://t.co/aUOChZPviv",AX
120,1.49E+18,"Aguardando a nota do Bonde do Che passando pano pra torcedor que invade o campo com uma faca, pra cima de garoto sub-20",AX
121,1.49E+18,Send them to China or Russia for lessons! Yet they disrespected America's democracy without any shame or remorse and still do. Failing to appreciate America's democracy will come by to haunt. Their successive family members will be forever remained of their family 's betrayal!,UC
122,1.49E+18,"According to tonight’s news, Boris Johnson is in his country residence “busy plotting his strategy for survival”.\n\nExcellent. Excellent.  I mean it’s not as if there is a cost of living crisis, Brexit catastrophe or potential Russian invasion of Ukraine to be dealing with.",AX
123,1.49E+18,Germany trained Russian forces for years.\n\nGerman companies were directly supporting and training Russia’s military even during the attacks against Ukraine.\n\nGerman companies sold Russia prohibited dual use tech which Russian forces use in its unlawful war against Ukraine.,UC
124,1.49E+18,@dictator4u @brettachapman @nprpolitics Russia is not encroaching on you. Why do you think you are always the victim when you are part of more wars than everyone else.,AX
125,1.49E+18,Britain says Russia seeking to replace Ukraine government https://t.co/Xv0PQvBYV9,PY
126,1.49E+18,"Thread on new Russian sanctions bill in Congress, includes long overdue sanctions against Putin: https://t.co/TjhwCjI2cI",UC
127,1.49E+18,"To knowingly attach, or endorse a name, especially one's own endorsement is intent. This intent by all of those who sought to say screw American and Americans and screw the integrity of the elections knowingly committed forgery - a death penalty in China or Russia!",AX
128,1.49E+18,@vela_emilio Usted tal vez confunde un analisis distinto al suyo con defender a putin.,AX
129,1.49E+18,"Great...attack civil servants now....who are unable to speak back, yet have loyally worked for this unspeakable government https://t.co/AIwf66vOQd",AX
130,1.49E+18,"The Times publica esta historia de un líder checheno de #ISIS que ahora combate en #Ucrania: ""Putin es nuestro enemigo también""\nhttps://t.co/tvgFNV5Wu4",AX
131,1.49E+18,"@jkenney @CanadianForces Already anticipating Russia destroying us in Ukraine, huh?",PY
132,1.49E+18,NYT just broke the story too https://t.co/q36C7lmYtS,AX
133,1.49E+18,Attack on Titan in a nutshell: https://t.co/0bP1jmj1Ba,AX
134,1.49E+18,@eikotoda @XSovietNews Coincidetely both countries went to war WITH Russia and it went terribly wrong. Granted it was hundreds of years ago but still,AX
135,1.49E+18,"Five years ago, anyone talking about Russia’s threat got mocked, but you may note the impending war with them.",PY
136,1.49E+18,".@RichardGrenell: ""The reality is that the leaders of Russia and China and a whole bunch of other places smell weakness.""\n\n@Logan_Ratick https://t.co/g7sR5PdggK",UC
137,1.49E+18,"São CRIANÇAS jogando \n\nMolecada de 15, 16, 17 anos em campo, e aí do nada homem barbado invade o gramado pra tentar agredir a meninada. Crianças, bicho. O futebol brasileiro está doente",AX
138,1.49E+18,"Metakings is back and stronger, everything should be back to normal in less than an hour, we were able to find the problem and culprit behind the LP drain and the solution as well to avoid future attacks, Great leaders are not ruined by adversities but strengthened through it.",AX
139,1.49E+18,Good moarning everyone ! 🐯\nSome words about our upcoming DeFi Game 🎮\n\nGame Type : Village defense (Build and Upgrade your village)  🛖\n\nParticularity : Attack other villages to steal their ressources (Token) ⚔️\n\nToken : 🪙Nisha - Burns after each use 🔥 https://t.co/WToEs4hbPK,AX
140,1.49E+18,"Reality: We won’t go to war over Ukraine. We won’t go to war over Albania. We won’t go to war over Montenegro. We won’t go to war over Taiwan. Eventually, because we did nothing to stop those invasions, we’ll get into a big war. Leadership matters. We don’t have good leadership.",AX
141,1.49E+18,"If the Republican coup succeeds, you will only be able to get a government job if you are a loyal member of the Party, as it is in Russia and China.",AX
142,1.49E+18,"Gente do céu, que tipo de torcedor é esse que invade o campo com uma faca, ridículo demais",AX
143,1.49E+18,It’s always been Russia Russia Russia https://t.co/2nVA6sIXMy,UC
144,1.49E+18,Ukraine begs for weapons . We send virtue signalling. https://t.co/pklDHMdpka,UC
145,1.49E+18,"The Canadian government can't provide clean drinking water to FN people in this country, yet it stands with Ukraine?",UC
146,1.49E+18,Are you willing to sacrifice your kids or grandkids and US treasury to protect Hunter's business dealings in the Ukraine?,AX
147,1.49E+18,Vindman has spent the last week trashing Zelensky because he’s a shameless hack who never actually cared about Ukraine. Vindman exists to lick the boots of Democrats. It was always a scam. https://t.co/mKNMtScM5d,AX
148,1.49E+18,Russia annexed Crimea when Obama was in the White House.\n\nNow they're about to annex Donbass while Biden is there.\n\nFor the four years the so-called Russian asset was in the White House they didn't do anything like that.\n\nBut don't let facts get in the way of a narrative.,AX
149,1.49E+18,"Four other Ukrainians named in the communiqué once held senior positions in the Ukrainian gov't &amp; worked in proximity to Paul Manafort, Trump’s campaign manager, when he worked as an adviser to Ukraine’s former Russian-backed president, Viktor Yanukovych.\nhttps://t.co/jRfFFDp5UB",AX
150,1.49E+18,"One of our teams in #CentralAfricanRepublic was ambushed by a group of armed men wearing military fatigues.\n\nWhile the team and patients are safe, we profoundly condemn this targeted attack against a clearly identified @MSF convoy.\n\nInfo by @MSF_WestAfrica: https://t.co/3SVIKGknsz",AX
151,1.49E+18,"Psicopata desse tinha q apodrecer na cadeia bixo, FDP invade o campo com uma faca vsff https://t.co/7PnMmkFAOZ",AX
152,1.49E+18,"@MarionSpielhag1 Kalten Krieg. Die testen sich permanent gegenseitig und sind auch Provokationen gewöhnt.\nUkraine wird nicht zum Weltkrieg führen, aber so gemütlich wie die letzten 30 Jahre wird es nie mehr. 😕",AX
153,1.49E+18,In Bosnien-Herzegowina wollen die Serben unabhängig werden ihre Schutzmacht Putin. Die Bosnier sind der Westen\n\nNiemand braucht eine Widerauflage des Balkankriegs.\n\nNationalisten sind so nervig.,AX
154,1.49E+18,@30andAlone @didoh @ChristopherJM @BuzzFeedNews Russia aren’t exactly subtle when they murder dissidents. They pull stunts like that on people like Skripal and Litvinenko because they want the world to know. You don’t need to deny it for them,AX
155,1.49E+18,BREAKING NEWS\n\nPUTIN PREPARING TO INSTALL PRO-RUSSIAN LEADERSHIP IN UKRAINE ACCORDING TO BRITISH INTELLIGENCE,PY
156,1.49E+18,"Aguardando a nota do Bonde do Che passando pano pra torcedor que invade o campo com uma faca, pra cima de garoto sub-20",AX
157,1.49E+18,Attack on Titan fans tomorrow https://t.co/XeKoybeMEX,AX
158,1.49E+18,The Biden Administration won't lift a finger to secure our border but will happily give Ukraine $200 million to secure their border.,UC
159,1.49E+18,El 1 de setiembre de 1939 mediante la “Operación Caso Blanco” Hitler invade a Polonia y se la anexa. Lo que ocurre ahora en la frontera entre Rusia y Ucrania recuerda extrañamente aquellos acontecimientos.,AX
160,1.49E+18,"I'm listening to an interview of Dakota Adams, aka Dakota Rhodes the son of Stewart Rhodes and it is eye-opening and the ties to Flynn and Russia, Qanon and Mormons are noted. He is very knowledgeable about the Ops. He backs me up on who Q is and isn't. Flynn Co-op'd it.",AX
161,1.49E+18,"@CFL68 @TheWeek Hmmmm. Why then are all the news channels saying Russia already has ""more than enough"" troops and materiel on Ukraine's border to invade successfully?",DY
162,1.49E+18,This is a personal attack https://t.co/86wNUm9Y7d,AX
163,1.49E+18,A que ponto chegamos… um torcedor invade o campo na semifinal da #Copinha2022 armado com uma faca. Vergonha para o Brasil!,AX
164,1.49E+18,"BREAKING: The British government has accused Russia of seeking to replace Ukraine’s government with a pro-Moscow administration, and said former Ukrainian lawmaker Yevheniy Murayev is being considered as a potential candidate.\nhttps://t.co/zoUufVV3Su",PY
165,1.49E+18,"Ukraine didn’t hire Joe Biden’s crack-addicted idiot son to the tune of $83,000 a month for nothing. They expect a return on their investment.",AX
166,1.49E+18,@MFA_Ukraine The nicaraguan people #StandWithUkraine,AX
167,1.49E+18,"ah, pelo amor de deus mano\na gente te perdendo o jogo e o filho da puta  ainda invade com uma faca o gramado\n\né pra decretar a morte da copinha mesmo https://t.co/rcaoGSZnET",AX
